model,fpr,tpr,threshold
rectified_l1,0.13494132985658408,1.0,4.275761025059937e-09
rectified_l1,0.13754889178617993,1.0,3.2620389804205238e-09
rectified_l1,0.1408083441981747,1.0,2.628182008236417e-09
rectified_l1,0.1421121251629726,1.0,1.2444539510761568e-09
rectified_l1,0.14341590612777053,1.0,1.1764450362110558e-09
rectified_l1,0.14471968709256844,1.0,8.108927506355578e-10
rectified_l1,0.14602346805736635,1.0,7.631650226025064e-10
rectified_l1,0.14667535853976532,1.0,5.739093007857787e-10
rectified_l1,0.14863102998696218,1.0,5.271155664378751e-10
rectified_l1,0.14928292046936115,1.0,4.330457461917264e-10
rectified_l1,0.15058670143415906,1.0,4.327621042733542e-10
rectified_l1,0.15123859191655803,1.0,3.7043322551718297e-10
rectified_l1,0.15319426336375488,1.0,2.891511013350008e-10
rectified_l1,0.15971316818774445,1.0,1.052469611238427e-10
rectified_l1,0.1623207301173403,1.0,8.382107702857642e-11
rectified_l1,0.1681877444589309,1.0,1.9342496872581497e-11
rectified_l1,0.17209908735332463,1.0,1.884384343136311e-11
rectified_l1,0.17535853976531943,1.0,1.8038245178722144e-11
rectified_l1,0.17926988265971316,1.0,7.925373386370996e-12
rectified_l1,0.18057366362451108,1.0,7.497354499195967e-12
rectified_l1,0.18252933507170796,1.0,6.074921151892658e-12
rectified_l1,0.18578878748370273,1.0,4.5264141413335494e-12
rectified_l1,0.211864406779661,1.0,4.204896317306199e-12
rectified_l1,0.21316818774445892,1.0,4.1372003570146556e-12
rectified_l1,0.21577574967405475,1.0,2.871413263610142e-12
rectified_l1,0.21707953063885269,1.0,2.5584294068114516e-12
rectified_l1,0.21773142112125163,1.0,2.4750088867865314e-12
rectified_l1,0.2196870925684485,1.0,2.376799649790012e-12
rectified_l1,0.22294654498044328,1.0,2.055359215490558e-12
rectified_l1,0.2242503259452412,1.0,1.8334907108423855e-12
rectified_l1,0.2255541069100391,1.0,1.4982739828921305e-12
rectified_l1,0.2288135593220339,1.0,5.601155015682604e-13
rectified_l1,0.2301173402868318,1.0,2.4251556469490434e-13
rectified_l1,0.23076923076923078,1.0,2.2487510849661691e-13
rectified_l1,0.23272490221642764,1.0,2.0360014793224564e-13
rectified_l1,0.2333767926988266,1.0,1.8405005418112568e-13
rectified_l1,0.23468057366362452,1.0,1.4486230179305829e-13
rectified_l1,0.23728813559322035,1.0,1.4427978642442516e-13
rectified_l1,0.2379400260756193,1.0,1.432659317944011e-13
rectified_l1,0.2392438070404172,1.0,1.2869934217958296e-13
rectified_l1,0.23989569752281617,1.0,1.203649799287629e-13
rectified_l1,0.24445893089960888,1.0,1.12542876120872e-13
rectified_l1,0.24511082138200782,1.0,1.0488358645097217e-13
rectified_l1,0.24771838331160365,1.0,7.885835713587149e-14
rectified_l1,0.24902216427640156,1.0,7.183418737086683e-14
rectified_l1,0.2503259452411995,1.0,6.978853239989472e-14
rectified_l1,0.2522816166883963,1.0,6.119317854177004e-14
rectified_l1,0.2561929595827901,1.0,4.4144872892128814e-14
rectified_l1,0.25684485006518903,1.0,3.841393289133348e-14
rectified_l1,0.2633637548891786,1.0,3.501672105947005e-14
rectified_l1,0.2653194263363755,1.0,2.996975149932708e-14
rectified_l1,0.2666232073011734,1.0,2.7637872117253948e-14
rectified_l1,0.27444589308996087,1.0,2.5760273476663592e-14
rectified_l1,0.2757496740547588,1.0,2.3708654043436142e-14
rectified_l1,0.2770534550195567,1.0,1.836346112561632e-14
rectified_l1,0.2790091264667536,1.0,1.8233188193467164e-14
rectified_l1,0.28096479791395046,1.0,1.0151806611621636e-14
rectified_l1,0.2835723598435463,1.0,9.7546113940513e-15
