rho_active,cross_scale,rho_cross,theta_raw,theta_bin,safe_raw,safe_bin,delta_theta,delta_safe,raw_over_one,rect_over_one
-0.1,0.7,-0.2928310092869264,1.6781234643658394,0.9276183127360055,0.0,1.0,-0.7505051516298339,1.0,True,False
-0.1,0.75,-0.31374750995027834,1.7957388466093256,0.9907842707801017,0.0,0.6666666666666666,-0.8049545758292239,0.6666666666666666,True,False
-0.1,0.8,-0.33466401061363027,1.9130573046407793,1.0683447997106243,0.0,0.0,-0.8447125049301549,0.0,True,True
-0.1,0.85,-0.3555805112769821,2.0302862449381274,1.1360556784152374,0.0,0.0,-0.89423056652289,0.0,True,True
-0.1,0.9,-0.376497011940334,2.147516907637456,1.2017987813185418,0.0,0.0,-0.945718126318914,0.0,True,True
-0.1,0.95,-0.39741351260368585,2.2647469240217406,1.2656895393682472,0.0,0.0,-0.9990573846534934,0.0,True,True
-0.05,0.2,-0.09219544457292889,0.45019262426800183,0.28832040464385583,1.0,1.0,-0.161872219624146,0.0,False,False
-0.05,0.25,-0.1152443057161611,0.5562934844775745,0.34756560738495973,1.0,1.0,-0.2087278770926148,0.0,False,False
-0.05,0.3,-0.1382931668593933,0.6646896691524119,0.41616493404944266,1.0,1.0,-0.24852473510296924,0.0,False,False
-0.05,0.35,-0.1613420280026255,0.7732856692805589,0.4751873761321587,1.0,1.0,-0.29809829314840014,0.0,False,False
-0.05,0.4,-0.18439088914585777,0.8807065496482354,0.5315197523642551,1.0,1.0,-0.3491867972839803,0.0,False,False
-0.05,0.45,-0.20743975028908998,0.9880959725917959,0.581352846146811,1.0,1.0,-0.4067431264449849,0.0,False,False
-0.05,0.5,-0.2304886114323222,1.0951395719986026,0.6606989123901513,0.0,1.0,-0.43444065960845124,1.0,True,False
-0.05,0.55,-0.2535374725755544,1.2022051007806625,0.7258387973158321,0.0,1.0,-0.47636630346483033,1.0,True,False
-0.05,0.6,-0.2765863337187866,1.309153467193514,0.7895185746482879,0.0,1.0,-0.5196348925452262,1.0,True,False
-0.05,0.65,-0.29963519486201884,1.4160065494978145,0.838614258113951,0.0,1.0,-0.5773922913838635,1.0,True,False
-0.05,0.7,-0.322684056005251,1.5227592780715755,0.910782541330177,0.0,1.0,-0.6119767367413985,1.0,True,False
-0.05,0.75,-0.3457329171484833,1.629433399570205,0.9805765257772712,0.0,1.0,-0.6488568737929339,1.0,True,False
-0.05,0.8,-0.36878177829171555,1.7360917952387434,1.0441631238060454,0.0,0.0,-0.691928671432698,0.0,True,True
-0.05,0.85,-0.3918306394349477,1.842592625406347,1.1238782104979836,0.0,0.0,-0.7187144149083633,0.0,True,True
-0.05,0.9,-0.41487950057817996,1.9490622268718363,1.198319204328273,0.0,0.0,-0.7507430225435632,0.0,True,True
-0.05,0.95,-0.43792836172141214,2.05549242438741,1.2642215705711637,0.0,0.0,-0.7912708538162465,0.0,True,True
-0.0,0.2,0.1,0.41406814282044985,0.2734297467849501,1.0,1.0,-0.14063839603549977,0.0,False,False
-0.0,0.25,0.125,0.5134648199959396,0.3295207988299381,1.0,1.0,-0.1839440211660015,0.0,False,False
-0.0,0.3,0.15,0.6128429663216903,0.38621362330146286,1.0,1.0,-0.22662934302022747,0.0,False,False
-0.0,0.35,0.175,0.7121232493754343,0.44782421936043804,1.0,1.0,-0.2642990300149962,0.0,False,False
-0.0,0.4,0.2,0.8111279380852542,0.5194539541372988,1.0,1.0,-0.2916739839479554,0.0,False,False
-0.0,0.45,0.225,0.9102484928578818,0.5974450883046504,1.0,1.0,-0.3128034045532314,0.0,False,False
-0.0,0.5,0.25,1.0091590800173782,0.6353884184384935,0.3333333333333333,1.0,-0.3737706615788847,0.6666666666666667,True,False
-0.0,0.55,0.275,1.1080108838796978,0.7023601024125187,0.0,1.0,-0.40565078146717914,1.0,True,False
-0.0,0.6,0.3,1.2066122478523316,0.7540027819737308,0.0,1.0,-0.45260946587860074,1.0,True,False
-0.0,0.65,0.325,1.3052844070519647,0.8451996322367356,0.0,1.0,-0.46008477481522914,1.0,True,False
-0.0,0.7,0.35,1.4038465235332511,0.8938134826101426,0.0,1.0,-0.5100330409231085,1.0,True,False
-0.0,0.75,0.375,1.5022249259687328,0.9661680347341592,0.0,1.0,-0.5360568912345736,1.0,True,False
-0.0,0.8,0.4,1.6005742702170231,1.0289803975963705,0.0,0.0,-0.5715938726206526,0.0,True,True
