support_size,n,seed_count,rho_active,cross_scale,rho_cross,theta_raw,theta_bin,safe_raw,safe_bin,delta_theta,delta_safe
25,5000,3,0.025,0.4,0.10119288512538814,1.5854257697122203,1.1560209485244777,0.0,0.0,-0.4294048211877426,0.0
25,5000,3,0.025,0.45,0.11384199576606165,1.7819933164944064,1.31971724644448,0.0,0.0,-0.46227607004992644,0.0
25,5000,3,0.025,0.5,0.12649110640673517,1.9772042601766333,1.486130599122305,0.0,0.0,-0.49107366105432826,0.0
25,5000,3,0.025,0.55,0.1391402170474087,2.1726024153369234,1.6228473672857457,0.0,0.0,-0.5497550480511777,0.0
25,5000,3,0.025,0.6,0.1517893276880822,2.3654995824122214,1.7487952221962184,0.0,0.0,-0.616704360216003,0.0
25,5000,3,0.025,0.65,0.1644384383287557,2.55921733969163,1.8616779434352584,0.0,0.0,-0.6975393962563714,0.0
25,5000,3,0.025,0.7,0.17708754896942921,2.7515805306327956,2.062007544772643,0.0,0.0,-0.6895729858601527,0.0
25,5000,3,0.025,0.75,0.18973665961010275,2.9754744765508523,2.2092595307530054,0.0,0.0,-0.7662149457978469,0.0
25,5000,3,0.025,0.8,0.20238577025077628,3.1351287529689014,2.31841712271951,0.0,0.0,-0.8167116302493915,0.0
25,5000,3,0.025,0.85,0.2150348808914498,3.351067524021225,2.502670948658343,0.0,0.0,-0.8483965753628819,0.0
25,5000,3,0.025,0.9,0.2276839915321233,3.5379746923517845,2.6361521187100405,0.0,0.0,-0.901822573641744,0.0
25,5000,3,0.025,0.95,0.2403331021727968,3.7228531007399144,2.782047370541856,0.0,0.0,-0.9408057301980586,0.0
25,5000,3,0.05,0.0,0.0,0.009311582264465944,0.0272265275703887,1.0,1.0,0.017914945305922754,0.0
25,5000,3,0.05,0.05,0.014832396974191326,0.17974846465566843,0.13820406193562942,1.0,1.0,-0.04154440272003901,0.0
25,5000,3,0.05,0.1,0.029664793948382652,0.3506897352108102,0.29211947019492945,1.0,1.0,-0.05857026501588075,0.0
25,5000,3,0.05,0.15,0.044497190922573975,0.520724083727616,0.42448192059338735,1.0,1.0,-0.09624216313422868,0.0
25,5000,3,0.05,0.2,0.059329587896765304,0.6515234256813486,0.530406599875708,1.0,1.0,-0.12111682580564054,0.0
25,5000,3,0.05,0.25,0.07416198487095663,0.8236590810372723,0.6635275791472136,1.0,1.0,-0.16013150189005865,0.0
25,5000,3,0.05,0.3,0.08899438184514795,0.9973458884639039,0.8050324252211674,0.6666666666666666,1.0,-0.19231346324273657,0.33333333333333337
25,5000,3,0.05,0.35,0.10382677881933927,1.2348242697406304,1.0227662744247041,0.0,0.6666666666666666,-0.21205799531592628,0.6666666666666666
25,5000,3,0.05,0.4,0.11865917579353061,1.3398767187889995,1.0590188224971204,0.0,0.0,-0.28085789629187907,0.0
25,5000,3,0.05,0.45,0.13349157276772194,1.5081838911505334,1.1852323717714939,0.0,0.0,-0.32295151937903954,0.0
25,5000,3,0.05,0.5,0.14832396974191325,1.6768791471933309,1.3361571955010076,0.0,0.0,-0.3407219516923232,0.0
25,5000,3,0.05,0.55,0.1631563667161046,1.8442923735440016,1.4844672363763827,0.0,0.0,-0.3598251371676189,0.0
