rho_active,inactive_count,seed,theta_raw,theta_bin,safe_raw,safe_bin,mean_cross_raw,mean_cross_bin
0.6,2,3301,0.9426088095237877,0.8234320031490505,1.0,1.0,0.6557974347944001,0.4560439613763968
0.6,2,3302,0.9225082491893354,0.8132211345037657,1.0,1.0,0.6431431896486179,0.4499180336091978
0.6,2,3303,0.9544190857214104,0.8400548029395386,1.0,1.0,0.6468999037369909,0.4492895707052525
0.6,2,3304,0.9449567141498397,0.8220348880719153,1.0,1.0,0.649079584258634,0.45131624247201685
0.6,2,3305,0.9500420122858653,0.8192038329250235,1.0,1.0,0.6363615057585781,0.4416458280949777
0.6,3,3301,0.9431488199283653,0.828367509762589,1.0,1.0,0.656162042360496,0.45701803387795586
0.6,3,3302,0.9225082491893354,0.8132211345037657,1.0,1.0,0.6443435991510623,0.45181674362111085
0.6,3,3303,0.9544190857214104,0.8400548029395386,1.0,1.0,0.6376962823645234,0.44280315112272994
0.6,3,3304,0.9449567141498397,0.8220348880719153,1.0,1.0,0.6501481555473126,0.45085113140985156
0.6,3,3305,0.9606851503345426,0.8220825245524084,1.0,1.0,0.6438979667426856,0.4443214885455586
0.6,4,3301,0.9431488199283653,0.8377226727465936,1.0,1.0,0.6556725892808835,0.45888976263900016
0.6,4,3302,0.925469490243137,0.8132211345037657,1.0,1.0,0.6460339423424898,0.45166554802389014
0.6,4,3303,0.9544190857214104,0.8400548029395386,1.0,1.0,0.6430305576657149,0.4455923969735803
0.6,4,3304,0.9449567141498397,0.8257998891658599,1.0,1.0,0.6492504123039846,0.4519690287262644
0.6,4,3305,0.9606851503345426,0.8354994620375588,1.0,1.0,0.6460274361665482,0.4474895207418771
0.6,5,3301,0.9431488199283653,0.8377226727465936,1.0,1.0,0.6555804374844137,0.45685724716387205
0.6,5,3302,0.925469490243137,0.8132211345037657,1.0,1.0,0.6456654397590862,0.45161410307723154
0.6,5,3303,0.9601849143190665,0.8404840710868902,1.0,1.0,0.6479557713464461,0.4485972627769024
0.6,5,3304,0.9449567141498397,0.8278868791653258,1.0,1.0,0.6504533878375856,0.4526040398103027
0.6,5,3305,0.9606851503345426,0.8354994620375588,1.0,1.0,0.6464084574406075,0.44701135322383656
0.6,6,3301,0.9431488199283653,0.8415652824476774,1.0,1.0,0.6549673428321192,0.4585063469487552
0.6,6,3302,0.925469490243137,0.8132211345037657,1.0,1.0,0.6447337967606788,0.4498472259463459
0.6,6,3303,0.9601849143190665,0.8404840710868902,1.0,1.0,0.6406449291882248,0.44238842396728145
0.6,6,3304,0.9449567141498397,0.8278868791653258,1.0,1.0,0.6495390744288546,0.45197097593904995
0.6,6,3305,0.9606851503345426,0.8354994620375588,1.0,1.0,0.6440496467002533,0.44734012048271227
0.6,7,3301,0.9431488199283653,0.8415652824476774,1.0,1.0,0.6490175860979243,0.45356285048938927
0.6,7,3302,0.925469490243137,0.8132211345037657,1.0,1.0,0.645547528161312,0.4505297876056175
0.6,7,3303,0.9601849143190665,0.8404840710868902,1.0,1.0,0.641827647030041,0.4430101586535272
0.6,7,3304,0.9449567141498397,0.8278868791653258,1.0,1.0,0.6489449372402116,0.45179257216147883
0.6,7,3305,0.9606851503345426,0.8354994620375588,1.0,1.0,0.6381752104471685,0.44340433377030086
0.6,8,3301,0.9431488199283653,0.8415652824476774,1.0,1.0,0.6402747007497585,0.4468052934428113
0.6,8,3302,0.9310067824942404,0.8247282881974283,1.0,1.0,0.6466857953231224,0.452366199649962
0.6,8,3303,0.9601849143190665,0.8404840710868902,1.0,1.0,0.639849955989332,0.4408534795643537
0.6,8,3304,0.9449567141498397,0.8278868791653258,1.0,1.0,0.6495122641005295,0.4518084059883087
0.6,8,3305,0.9606851503345426,0.8354994620375588,1.0,1.0,0.6387934864720031,0.44345730802810135
0.6,9,3301,0.9431488199283653,0.8415652824476774,1.0,1.0,0.6388806779936628,0.4459484631028174
0.6,9,3302,0.94744261370626,0.8247282881974283,1.0,1.0,0.648943031110328,0.4533095149138266
0.6,9,3303,0.9601849143190665,0.8404840710868902,1.0,1.0,0.6403134181010511,0.440861124556341
0.6,9,3304,0.9449567141498397,0.8278868791653258,1.0,1.0,0.6480495377187334,0.4496868821062544
0.6,9,3305,0.9606851503345426,0.8354994620375588,1.0,1.0,0.6375425543103095,0.4419695736888236
0.6,10,3301,0.9566844688570096,0.8415652824476774,1.0,1.0,0.641656912970417,0.44750840755984667
0.6,10,3302,0.94744261370626,0.8247282881974283,1.0,1.0,0.6494144333983002,0.45382103874812413
0.6,10,3303,0.9601849143190665,0.8404840710868902,1.0,1.0,0.6421897505667215,0.4416317782156323
0.6,10,3304,0.9449567141498397,0.8278868791653258,1.0,1.0,0.6473396289398418,0.4484740322417829
