rho_active,cross_scale,rho_cross,seed,theta_raw,theta_bin,safe_raw,safe_bin
-0.1,0.2,-0.08366600265340757,2201,0.46989706000349735,0.24365229911088848,1.0,1.0
-0.1,0.2,-0.08366600265340757,2202,0.47225078665987563,0.21762074772557682,1.0,1.0
-0.1,0.2,-0.08366600265340757,2203,0.4406742263860303,0.23951031981470644,1.0,1.0
-0.1,0.25,-0.10458250331675945,2201,0.6061477917991374,0.35415862528959396,1.0,1.0
-0.1,0.25,-0.10458250331675945,2202,0.6337484445154213,0.29893967676524374,1.0,1.0
-0.1,0.25,-0.10458250331675945,2203,0.6041822585682609,0.3491548851014952,1.0,1.0
-0.1,0.3,-0.12549900398011132,2201,0.7230501068875433,0.3754540585563345,1.0,1.0
-0.1,0.3,-0.12549900398011132,2202,0.7518095807586419,0.3793446147250583,1.0,1.0
-0.1,0.3,-0.12549900398011132,2203,0.7265126430864333,0.385778730094135,1.0,1.0
-0.1,0.35,-0.1464155046434632,2201,0.8404175946157324,0.47824289889533345,1.0,1.0
-0.1,0.35,-0.1464155046434632,2202,0.868919297147248,0.4371322751939515,1.0,1.0
-0.1,0.35,-0.1464155046434632,2203,0.8479005876226439,0.4615849800126003,1.0,1.0
-0.1,0.4,-0.16733200530681513,2201,0.9578060949308576,0.5422189288385524,1.0,1.0
-0.1,0.4,-0.16733200530681513,2202,0.9856650038205113,0.5374641998025406,1.0,1.0
-0.1,0.4,-0.16733200530681513,2203,0.9693748444725403,0.5285974773877394,1.0,1.0
-0.1,0.45,-0.188248505970167,2201,1.072436258567088,0.5656931198896666,0.0,1.0
-0.1,0.45,-0.188248505970167,2202,1.1001240642905494,0.5786698198374408,0.0,1.0
-0.1,0.45,-0.188248505970167,2203,1.092590003963705,0.6061567357781423,0.0,1.0
-0.1,0.5,-0.2091650066335189,2201,1.1931795298446053,0.6734072095989181,0.0,1.0
-0.1,0.5,-0.2091650066335189,2202,1.2178696929213246,0.6591340336960682,0.0,1.0
-0.1,0.5,-0.2091650066335189,2203,1.2103940703659992,0.6966136327119035,0.0,1.0
-0.1,0.55,-0.2300815072968708,2201,1.311291567650898,0.7324704859895508,0.0,1.0
-0.1,0.55,-0.2300815072968708,2202,1.3333679871240829,0.6865096942426627,0.0,1.0
-0.1,0.55,-0.2300815072968708,2203,1.3310022344135872,0.7421814200972368,0.0,1.0
-0.1,0.6,-0.25099800796022265,2201,1.4295545632899485,0.7700925864909942,0.0,1.0
-0.1,0.6,-0.25099800796022265,2202,1.4486516574484996,0.8033511551941388,0.0,1.0
-0.1,0.6,-0.25099800796022265,2203,1.4510910656912843,0.7871034034101224,0.0,1.0
-0.1,0.65,-0.2719145086235746,2201,1.5476340744595478,0.8364401263595898,0.0,1.0
-0.1,0.65,-0.2719145086235746,2202,1.5636336868388796,0.8589297556393396,0.0,1.0
-0.1,0.65,-0.2719145086235746,2203,1.570767009557877,0.8638879398549374,0.0,1.0
-0.1,0.7,-0.2928310092869264,2201,1.6659927669615482,0.9140336522540786,0.0,1.0
-0.1,0.7,-0.2928310092869264,2202,1.6783686553024844,0.9279179951542847,0.0,1.0
-0.1,0.7,-0.2928310092869264,2203,1.6900089708334851,0.940903290799653,0.0,1.0
-0.1,0.75,-0.31374750995027834,2201,1.7845808165377397,0.9582175679389857,0.0,1.0
-0.1,0.75,-0.31374750995027834,2202,1.792894422236544,1.0174729645610023,0.0,0.0
-0.1,0.75,-0.31374750995027834,2203,1.809741301053693,0.9966622798403172,0.0,1.0
-0.1,0.8,-0.33466401061363027,2201,1.9033232005379852,1.0569191478457283,0.0,0.0
-0.1,0.8,-0.33466401061363027,2202,1.907209800236802,1.0869150971645893,0.0,0.0
-0.1,0.8,-0.33466401061363027,2203,1.9286389131475508,1.0612001541215554,0.0,0.0
-0.1,0.85,-0.3555805112769821,2201,2.022246743910242,1.1315554589903751,0.0,0.0
-0.1,0.85,-0.3555805112769821,2202,2.0213562934604035,1.1344789002695501,0.0,0.0
-0.1,0.85,-0.3555805112769821,2203,2.0472556974437364,1.1421326759857866,0.0,0.0
-0.1,0.9,-0.376497011940334,2201,2.1414342883078885,1.1805749177414402,0.0,0.0
-0.1,0.9,-0.376497011940334,2202,2.1353155210310857,1.2363801206488108,0.0,0.0
-0.1,0.9,-0.376497011940334,2203,2.1658009135733938,1.1884413055653744,0.0,0.0
-0.1,0.95,-0.39741351260368585,2201,2.2610879445542906,1.270036346647414,0.0,0.0
-0.1,0.95,-0.39741351260368585,2202,2.2492772996004966,1.2633602135449982,0.0,0.0
-0.1,0.95,-0.39741351260368585,2203,2.2838755279104346,1.2636720579123297,0.0,0.0
-0.05,0.2,-0.09219544457292889,2201,0.43902631963635036,0.29046822103514675,1.0,1.0
-0.05,0.2,-0.09219544457292889,2202,0.4690269312642183,0.25980059975046044,1.0,1.0
-0.05,0.2,-0.09219544457292889,2203,0.44252462190343667,0.3146923931459603,1.0,1.0
-0.05,0.25,-0.1152443057161611,2201,0.5390451297914906,0.35120102316302626,1.0,1.0
-0.05,0.25,-0.1152443057161611,2202,0.5715752095553521,0.34285240948471896,1.0,1.0
-0.05,0.25,-0.1152443057161611,2203,0.558260114085881,0.3486433895071338,1.0,1.0
-0.05,0.3,-0.1382931668593933,2201,0.6485206469940636,0.40324329032105755,1.0,1.0
-0.05,0.3,-0.1382931668593933,2202,0.6794459233999979,0.4080282489849702,1.0,1.0
-0.05,0.3,-0.1382931668593933,2203,0.6661024370631743,0.4372232628423003,1.0,1.0
-0.05,0.35,-0.1613420280026255,2201,0.759518742533365,0.49614818832311436,1.0,1.0
-0.05,0.35,-0.1613420280026255,2202,0.7878840921469634,0.4614686654118638,1.0,1.0
-0.05,0.35,-0.1613420280026255,2203,0.7724541731613479,0.46794527466149793,1.0,1.0
-0.05,0.4,-0.18439088914585777,2201,0.8667039551342144,0.541615430037952,1.0,1.0
-0.05,0.4,-0.18439088914585777,2202,0.8935158702324681,0.5096288140687072,1.0,1.0
-0.05,0.4,-0.18439088914585777,2203,0.8818998235780238,0.5433150129861058,1.0,1.0
-0.05,0.45,-0.20743975028908998,2201,0.9738849513438298,0.5548115660612686,1.0,1.0
-0.05,0.45,-0.20743975028908998,2202,0.9989670190554771,0.5998981548552598,1.0,1.0
-0.05,0.45,-0.20743975028908998,2203,0.9914359473760808,0.5893488175239046,1.0,1.0
-0.05,0.5,-0.2304886114323222,2201,1.0814173947984695,0.6633860461994474,0.0,1.0
-0.05,0.5,-0.2304886114323222,2202,1.1042036683326595,0.6597857099629106,0.0,1.0
-0.05,0.5,-0.2304886114323222,2203,1.0997976528646785,0.6589249810080957,0.0,1.0
-0.05,0.55,-0.2535374725755544,2201,1.1887311955484001,0.692401194194765,0.0,1.0
-0.05,0.55,-0.2535374725755544,2202,1.2092537746874497,0.7285798237605745,0.0,1.0
-0.05,0.55,-0.2535374725755544,2203,1.208630332106138,0.7565353739921568,0.0,1.0
-0.05,0.6,-0.2765863337187866,2201,1.296301842566446,0.7546309880814549,0.0,1.0
