support_size,n,seed_count,rho_active,cross_scale,rho_cross,seed,theta_raw,theta_bin,safe_raw,safe_bin
25,5000,3,0.025,0.7,0.17708754896942921,6202,2.746477999227171,2.1304516264359803,0.0,0.0
25,5000,3,0.025,0.7,0.17708754896942921,6203,2.7457554469593455,2.0362774561957044,0.0,0.0
25,5000,3,0.025,0.75,0.18973665961010275,6201,2.967024484290256,2.1280451797257176,0.0,0.0
25,5000,3,0.025,0.75,0.18973665961010275,6202,2.9783450794485242,2.2599187181718445,0.0,0.0
25,5000,3,0.025,0.75,0.18973665961010275,6203,2.9810538659137764,2.2398146943614536,0.0,0.0
25,5000,3,0.025,0.8,0.20238577025077628,6201,3.1355577216175394,2.3008396035446843,0.0,0.0
25,5000,3,0.025,0.8,0.20238577025077628,6202,3.1312014673697357,2.342654738385452,0.0,0.0
25,5000,3,0.025,0.8,0.20238577025077628,6203,3.1386270699194294,2.3117570262283937,0.0,0.0
25,5000,3,0.025,0.85,0.2150348808914498,6201,3.334555401985211,2.4559175520309666,0.0,0.0
25,5000,3,0.025,0.85,0.2150348808914498,6202,3.3535172990552207,2.557957671708149,0.0,0.0
25,5000,3,0.025,0.85,0.2150348808914498,6203,3.3651298710232433,2.4941376222359137,0.0,0.0
25,5000,3,0.025,0.9,0.2276839915321233,6201,3.5167353266598878,2.569375441317699,0.0,0.0
25,5000,3,0.025,0.9,0.2276839915321233,6202,3.5406023951318373,2.6996632372582625,0.0,0.0
25,5000,3,0.025,0.9,0.2276839915321233,6203,3.5565863552636285,2.6394176775541602,0.0,0.0
25,5000,3,0.025,0.95,0.2403331021727968,6201,3.6974005401921515,2.738354462350496,0.0,0.0
25,5000,3,0.025,0.95,0.2403331021727968,6202,3.725482678484208,2.7911718895817996,0.0,0.0
25,5000,3,0.025,0.95,0.2403331021727968,6203,3.7456760835433838,2.816615759693272,0.0,0.0
25,5000,3,0.05,0.0,0.0,6201,0.021239314174832543,0.02351663101076732,1.0,1.0
25,5000,3,0.05,0.0,0.0,6202,0.0006717637561914659,0.03822950886423588,1.0,1.0
25,5000,3,0.05,0.0,0.0,6203,0.0060236688623738245,0.019933442836162905,1.0,1.0
25,5000,3,0.05,0.05,0.014832396974191326,6201,0.1927644576790514,0.1336991649943838,1.0,1.0
25,5000,3,0.05,0.05,0.014832396974191326,6202,0.17266383791412587,0.12898290287498565,1.0,1.0
25,5000,3,0.05,0.05,0.014832396974191326,6203,0.17381709837382808,0.15193011793751887,1.0,1.0
