seed,c_value,log10_c,split,rectifier,raw_j,rect_j,delta_j,raw_tpr,rect_tpr,delta_tpr,raw_tnr,rect_tnr,delta_tnr,raw_nonzero,rect_nonzero
0,0.14618962793704957,-0.8350834392078323,legacy67,minmax,0.6238095238095238,0.8095238095238095,0.18571428571428572,0.9333333333333333,1.0,0.06666666666666665,0.6904761904761905,0.8095238095238095,0.11904761904761907,11,8
0,0.14742753159914665,-0.8314214058591274,legacy67,minmax,0.6238095238095238,0.8095238095238095,0.18571428571428572,0.9333333333333333,1.0,0.06666666666666665,0.6904761904761905,0.8095238095238095,0.11904761904761907,11,8
0,0.16480446427978968,-0.7830310281618491,legacy67,minmax,0.6238095238095238,0.8095238095238095,0.18571428571428572,0.9333333333333333,1.0,0.06666666666666665,0.6904761904761905,0.8095238095238095,0.11904761904761907,11,8
0,0.16536937182824418,-0.7815449233065173,legacy67,minmax,0.6238095238095238,0.8095238095238095,0.18571428571428572,0.9333333333333333,1.0,0.06666666666666665,0.6904761904761905,0.8095238095238095,0.11904761904761907,11,8
0,0.1753594952976441,-0.7560707131373512,legacy67,minmax,0.6238095238095238,0.8095238095238095,0.18571428571428572,0.9333333333333333,1.0,0.06666666666666665,0.6904761904761905,0.8095238095238095,0.11904761904761907,12,8
0,0.17654048052495064,-0.7531556956423562,legacy67,minmax,0.6238095238095238,0.8095238095238095,0.18571428571428572,0.9333333333333333,1.0,0.06666666666666665,0.6904761904761905,0.8095238095238095,0.11904761904761907,12,8
0,0.1998634077852887,-0.6992667118930118,legacy67,minmax,0.6238095238095238,0.8095238095238095,0.18571428571428572,0.9333333333333333,1.0,0.06666666666666665,0.6904761904761905,0.8095238095238095,0.11904761904761907,13,8
0,0.2001342062287997,-0.6986786769469426,legacy67,minmax,0.6238095238095238,0.8095238095238095,0.18571428571428572,0.9333333333333333,1.0,0.06666666666666665,0.6904761904761905,0.8095238095238095,0.11904761904761907,13,8
0,0.21066486017042194,-0.6764079005894033,legacy67,minmax,0.6238095238095238,0.8095238095238095,0.18571428571428572,0.9333333333333333,1.0,0.06666666666666665,0.6904761904761905,0.8095238095238095,0.11904761904761907,13,8
0,0.2673088310781669,-0.5729866932256429,legacy67,minmax,0.6238095238095238,0.7961904761904761,0.1723809523809523,0.9333333333333333,0.9866666666666667,0.053333333333333344,0.6904761904761905,0.8095238095238095,0.11904761904761907,15,9
0,0.2715581955282939,-0.5661370858229096,legacy67,minmax,0.6238095238095238,0.7961904761904761,0.1723809523809523,0.9333333333333333,0.9866666666666667,0.053333333333333344,0.6904761904761905,0.8095238095238095,0.11904761904761907,15,9
0,0.292043384718141,-0.5345526268252332,legacy67,minmax,0.6238095238095238,0.7961904761904761,0.1723809523809523,0.9333333333333333,0.9866666666666667,0.053333333333333344,0.6904761904761905,0.8095238095238095,0.11904761904761907,15,9
0,0.314891164795686,-0.50183952461055,legacy67,minmax,0.6238095238095238,0.8200000000000001,0.19619047619047625,0.9333333333333333,0.9866666666666667,0.053333333333333344,0.6904761904761905,0.8333333333333334,0.1428571428571429,16,9
0,0.35868164986275475,-0.44529084124207197,legacy67,minmax,0.6238095238095238,0.8200000000000001,0.19619047619047625,0.9333333333333333,0.9866666666666667,0.053333333333333344,0.6904761904761905,0.8333333333333334,0.1428571428571429,17,9
0,0.5130551760589832,-0.2898359265658015,legacy67,minmax,0.6580952380952381,0.8200000000000001,0.161904761904762,0.92,0.9866666666666667,0.06666666666666665,0.7380952380952381,0.8333333333333334,0.09523809523809523,19,10
0,0.5342937261279772,-0.27221992543153695,legacy67,minmax,0.6580952380952381,0.8200000000000001,0.161904761904762,0.92,0.9866666666666667,0.06666666666666665,0.7380952380952381,0.8333333333333334,0.09523809523809523,19,9
