c_value,log10_c,mean_delta_j,std_delta_j,median_delta_j,p05_delta_j,p95_delta_j,positive_fraction,mean_delta_tpr,mean_delta_tnr,mean_raw_nonzero,mean_rect_nonzero,seed_2345_delta_j
2.692646910086177,0.4301794076057534,0.13809523809523805,0.06697344381820863,0.142857142857143,0.0180952380952381,0.2304761904761905,0.9900990099009901,-0.002640264026402642,0.1407355021216407,28.643564356435643,8.831683168316832,0.1485714285714285
2.801635158716258,0.4474115788895179,0.1382272512965582,0.06654179185022686,0.142857142857143,0.0238095238095239,0.2533333333333334,0.9900990099009901,-0.002508250825082509,0.1407355021216407,28.77227722772277,8.851485148514852,0.1485714285714285
3.113095956122122,0.4931925073102317,0.13801980198019798,0.06743727185841988,0.1400000000000001,0.0266666666666666,0.2533333333333334,0.9900990099009901,-0.0022442244224422435,0.14026402640264024,29.04950495049505,8.871287128712872,0.1485714285714285
3.550012525851159,0.5502298854208525,0.13960396039603956,0.06515751259911627,0.1400000000000001,0.0314285714285715,0.2333333333333334,1.0,-0.000660066006600659,0.1402640264026402,29.534653465346533,8.891089108910892,0.1485714285714285
4.467752817973904,0.6500891374159279,0.1439321074964639,0.06682588651627737,0.1399999999999996,0.0371428571428569,0.2485714285714284,0.9900990099009901,0.00013201320132013184,0.1438000942951438,30.10891089108911,8.891089108910892,0.1485714285714285
5.456725485601473,0.7369321060486276,0.1444413012729844,0.06654332497981387,0.1399999999999999,0.04,0.2514285714285713,0.9900990099009901,0.0015841584158415853,0.14285714285714282,30.485148514851485,9.168316831683168,0.1247619047619046
6.72093005015611,0.8274293753904685,0.14660066006600658,0.06643172990282545,0.1399999999999999,0.04,0.2485714285714284,1.0,0.003036303630363035,0.14356435643564353,30.782178217821784,11.029702970297029,0.1619047619047617
6.796578090758152,0.832290311184182,0.14660066006600658,0.06689718749542505,0.1400000000000001,0.04,0.2485714285714284,1.0,0.003036303630363035,0.14356435643564353,30.801980198019802,11.425742574257425,0.1619047619047617
7.128188058401357,0.85297914889198,0.14736445073078733,0.06828868839762363,0.1400000000000001,0.0371428571428569,0.2485714285714284,1.0,0.003564356435643562,0.14380009429514376,30.871287128712872,12.257425742574258,0.1857142857142855
8.241925264876443,0.9160286721639492,0.14695898161244694,0.07086939763128688,0.1400000000000001,0.039047619047619,0.2438095238095239,1.0,0.005280528052805275,0.14167845355964165,31.08910891089109,22.584158415841586,0.2095238095238094
8.287522363768153,0.9184247133522564,0.1473267326732673,0.07090957386521349,0.1400000000000001,0.039047619047619,0.2438095238095239,1.0,0.005412541254125406,0.14191419141914188,31.099009900990097,22.584158415841586,0.2095238095238094
8.471801418819974,0.9279757672456204,0.1478264969354078,0.07089343719219209,0.1400000000000001,0.039047619047619,0.2466666666666666,1.0,0.005676567656765672,0.14214992927864212,31.168316831683168,23.821782178217823,0.2095238095238094
11.04435084712468,1.0431401944675898,0.1488543140028288,0.07099417683053305,0.1400000000000001,0.0419047619047616,0.2514285714285715,1.0,0.006468646864686462,0.14238566713814235,31.475247524752476,26.801980198019802,0.2095238095238094
12.130221181165156,1.083868719818244,0.15069306930693066,0.07202970931373215,0.1409523809523811,0.0419047619047616,0.26,1.0,0.007128712871287122,0.14356435643564353,31.693069306930692,27.326732673267326,0.2228571428571428
12.164139351417056,1.085081386743783,0.15069306930693066,0.07202970931373215,0.1409523809523811,0.0419047619047616,0.26,1.0,0.007128712871287122,0.14356435643564353,31.693069306930692,27.316831683168317,0.2228571428571428
12.273800987852958,1.0889790771866297,0.15069306930693066,0.07202970931373215,0.1409523809523811,0.0419047619047616,0.26,1.0,0.007128712871287122,0.14356435643564353,31.712871287128714,27.435643564356436,0.2228571428571428
12.604664585649452,1.1005312934444582,0.15119283356907115,0.0719382963039355,0.1409523809523811,0.0476190476190476,0.26,1.0,0.007392739273927387,0.14380009429514376,31.742574257425744,27.455445544554454,0.2228571428571428
13.826232179369851,1.1407038455720544,0.15137199434229134,0.07262925102802674,0.1409523809523811,0.0419047619047616,0.26,1.0,0.006864686468646858,0.14450730787364446,31.84158415841584,27.524752475247524,0.2228571428571428
16.172900811143133,1.208787923016159,0.1527392739273927,0.07276425469717496,0.1457142857142859,0.0419047619047616,0.254285714285714,1.0,0.007524752475247518,0.14521452145214517,32.02970297029703,27.81188118811881,0.2466666666666668
17.123375973163967,1.2335893924658443,0.15344648750589343,0.07309463776750069,0.1485714285714283,0.0419047619047616,0.26,1.0,0.007524752475247518,0.14592173503064587,32.04950495049505,27.831683168316832,0.2466666666666668
18.27450885981601,1.2618457138193366,0.15271098538425268,0.07319993254814736,0.1485714285714285,0.0419047619047616,0.26,1.0,0.007260726072607256,0.1454502593116454,32.06930693069307,27.91089108910891,0.2333333333333334
20.65142557895924,1.3149500366077174,0.153031588873173,0.07288358445713952,0.1447619047619048,0.0419047619047616,0.26,1.0,0.008052805280528047,0.14497878359264493,32.15841584158416,27.97029702970297,0.2333333333333334
21.36832907235874,1.329770563201687,0.153031588873173,0.07284001425708113,0.1485714285714285,0.0419047619047616,0.26,1.0,0.008052805280528047,0.14497878359264493,32.198019801980195,27.99009900990099,0.2333333333333334
28.340904295147727,1.452413703502374,0.15439886845827436,0.07398305709436995,0.1447619047619048,0.0419047619047616,0.2619047619047618,1.0,0.00871287128712871,0.14568599717114566,32.51485148514851,28.237623762376238,0.2466666666666666
29.154431891537524,1.4647045830997407,0.15439886845827436,0.07398305709436995,0.1447619047619048,0.0419047619047616,0.2619047619047618,1.0,0.00871287128712871,0.14568599717114566,32.524752475247524,28.26732673267327,0.2466666666666666
35.387588647792384,1.5488509703053062,0.15537010843941534,0.07466764208582628,0.1457142857142856,0.0371428571428569,0.2619047619047618,1.0,0.008976897689768974,0.14639321074964637,32.64356435643565,28.504950495049506,0.2466666666666666
37.95853142670639,1.5793094017105953,0.15494578029231493,0.0752592788230536,0.1457142857142856,0.0371428571428569,0.2619047619047618,0.9900990099009901,0.008316831683168316,0.1466289486091466,32.71287128712871,28.613861386138613,0.2466666666666666
43.37920697490936,1.6372816083151285,0.1557661480433757,0.0748133247796203,0.1485714285714285,0.0371428571428569,0.2619047619047618,0.9900990099009901,0.00937293729372937,0.14639321074964637,32.75247524752475,28.762376237623762,0.2466666666666666
48.69640941520897,1.687496940092467,0.1566336633663366,0.07496920781123835,0.1504761904761906,0.0371428571428569,0.2619047619047618,0.9900990099009901,0.009768976897689763,0.14686468646864684,32.742574257425744,28.940594059405942,0.2466666666666666
57.279044707996185,1.7579957662567565,0.15723715228665722,0.07477500703514837,0.1514285714285712,0.0371428571428569,0.2619047619047618,0.9900990099009901,0.009900990099009896,0.1473361621876473,32.79207920792079,29.277227722772277,0.2466666666666666
62.45139574743064,1.795542149013333,0.15710513908533708,0.07470673375801243,0.1504761904761906,0.0371428571428569,0.2619047619047618,0.9900990099009901,0.009768976897689763,0.1473361621876473,32.801980198019805,29.455445544554454,0.2466666666666666
63.512210106406926,1.8028572256396649,0.15697312588401693,0.07459257694882136,0.1504761904761906,0.0371428571428569,0.2619047619047618,0.9900990099009901,0.00963696369636963,0.1473361621876473,32.801980198019805,29.504950495049506,0.2466666666666666
72.86653737491037,1.8625281322982372,0.15689768976897686,0.07462215065907628,0.1504761904761906,0.0371428571428569,0.2619047619047618,0.9900990099009901,0.010033003300330027,0.14686468646864684,32.84158415841584,29.88118811881188,0.2466666666666666
75.56810141274423,1.8783385110582345,0.15650165016501646,0.07434358050364763,0.1504761904761904,0.0371428571428569,0.2619047619047618,0.9900990099009901,0.009636963696369632,0.14686468646864684,32.86138613861386,30.10891089108911,0.2466666666666666
75.79479953347995,1.8796394086479773,0.15636963696369635,0.0746372285106517,0.1504761904761904,0.0371428571428569,0.2619047619047618,0.9900990099009901,0.0095049504950495,0.14686468646864684,32.86138613861386,30.10891089108911,0.2466666666666666
88.62326508576248,1.9475477464020687,0.15725601131541722,0.07390160610944042,0.1514285714285712,0.0419047619047616,0.2619047619047618,0.9900990099009901,0.00897689768976897,0.14827911362564825,32.87128712871287,30.742574257425744,0.2466666666666666
