c_value,log10_c,cv_mean_j,cv_std_j,cv_p10_j,cv_p90_j,cv_fold_count
0.1753594952976441,-0.7560707131373512,0.7789145636971724,0.1378885207434537,0.6034965034965035,0.9173076923076922,10
0.17654048052495064,-0.7531556956423562,0.7789145636971724,0.1378885207434537,0.6034965034965035,0.9173076923076922,10
0.1998634077852887,-0.6992667118930118,0.7789145636971724,0.1378885207434537,0.6034965034965035,0.9173076923076922,10
0.2001342062287997,-0.6986786769469426,0.7789145636971724,0.1378885207434537,0.6034965034965035,0.9173076923076922,10
0.21066486017042194,-0.6764079005894033,0.7789145636971724,0.1378885207434537,0.6034965034965035,0.9173076923076922,10
0.2673088310781669,-0.5729866932256429,0.8019914867740955,0.12630335207065713,0.7213894800851323,0.9173076923076922,10
0.2715581955282939,-0.5661370858229096,0.8019914867740955,0.12630335207065713,0.7213894800851323,0.9173076923076922,10
0.292043384718141,-0.5345526268252332,0.8019914867740955,0.12630335207065713,0.7213894800851323,0.9173076923076922,10
0.314891164795686,-0.50183952461055,0.8173761021587108,0.0887432633736484,0.7367740954697476,0.9173076923076922,10
0.35868164986275475,-0.44529084124207197,0.8173761021587108,0.0887432633736484,0.7367740954697476,0.9173076923076922,10
0.5130551760589832,-0.2898359265658015,0.8257094354920442,0.08977840798652352,0.7367740954697476,0.9173076923076922,10
0.5342937261279772,-0.27221992543153695,0.8257094354920442,0.08977840798652352,0.7367740954697476,0.9173076923076922,10
0.5762487216478598,-0.23939002504159476,0.8257094354920442,0.08977840798652352,0.7367740954697476,0.9173076923076922,10
0.6672367170464204,-0.17572006313185626,0.8257094354920442,0.08977840798652352,0.7367740954697476,0.9173076923076922,10
0.7742116473996242,-0.1111402993522028,0.8257094354920442,0.08977840798652352,0.7367740954697476,0.9173076923076922,10
0.9444574254983555,-0.02481761454243703,0.8410940508766596,0.09905077619449808,0.7367740954697476,0.9230769230769231,10
0.9565499215943818,-0.019292359554919238,0.8410940508766596,0.09905077619449808,0.7367740954697476,0.9230769230769231,10
1.1400863701127315,0.0569377536544464,0.8442409040235127,0.1183858590552701,0.7322286409242931,0.9307692307692308,10
1.2030178871154662,0.08027208471124325,0.8442409040235127,0.1183858590552701,0.7322286409242931,0.9307692307692308,10
1.2329098365270508,0.0909313175279762,0.8442409040235127,0.1183858590552701,0.7322286409242931,0.9307692307692308,10
