seed,quantile_id,quantile_label,split,raw_c,rect_c,quantile_low,quantile_high,raw_j,rect_j,delta_j,raw_tpr,rect_tpr,delta_tpr,raw_tnr,rect_tnr,delta_tnr,raw_nonzero,rect_nonzero
46,q30_70,30/70,legacy67,0.1,0.1,0.3,0.7,0.7190476190476192,0.5828571428571427,-0.13619047619047642,0.9333333333333333,0.7733333333333333,-0.16000000000000003,0.7857142857142857,0.8095238095238095,0.023809523809523836,7,12
46,q35_65,35/65,legacy67,0.1,0.1,0.35,0.65,0.7190476190476192,0.4942857142857142,-0.22476190476190494,0.9333333333333333,0.9466666666666667,0.013333333333333308,0.7857142857142857,0.5476190476190477,-0.23809523809523803,7,11
47,q10_90,10/90,legacy67,0.1,0.1,0.1,0.9,0.6876190476190476,0.716190476190476,0.02857142857142847,0.9733333333333334,0.9066666666666666,-0.06666666666666676,0.7142857142857143,0.8095238095238095,0.09523809523809523,9,10
47,q20_80,20/80,legacy67,0.1,0.1,0.2,0.8,0.6876190476190476,0.6342857142857143,-0.05333333333333323,0.9733333333333334,0.92,-0.053333333333333344,0.7142857142857143,0.7142857142857143,0.0,9,13
47,q25_75,25/75 (default),legacy67,0.1,0.1,0.25,0.75,0.6876190476190476,0.6447619047619049,-0.042857142857142705,0.9733333333333334,0.9066666666666666,-0.06666666666666676,0.7142857142857143,0.7380952380952381,0.023809523809523836,9,12
47,q30_70,30/70,legacy67,0.1,0.1,0.3,0.7,0.6876190476190476,0.5733333333333333,-0.11428571428571432,0.9733333333333334,0.9066666666666666,-0.06666666666666676,0.7142857142857143,0.6666666666666666,-0.04761904761904767,9,15
47,q35_65,35/65,legacy67,0.1,0.1,0.35,0.65,0.6876190476190476,0.41999999999999993,-0.26761904761904765,0.9733333333333334,0.92,-0.053333333333333344,0.7142857142857143,0.5,-0.2142857142857143,9,13
48,q10_90,10/90,legacy67,0.1,0.1,0.1,0.9,0.6161904761904764,0.8276190476190477,0.2114285714285713,0.9733333333333334,0.9466666666666667,-0.026666666666666727,0.6428571428571429,0.8809523809523809,0.23809523809523803,8,9
48,q20_80,20/80,legacy67,0.1,0.1,0.2,0.8,0.6161904761904764,0.8038095238095238,0.18761904761904735,0.9733333333333334,0.9466666666666667,-0.026666666666666727,0.6428571428571429,0.8571428571428571,0.2142857142857142,8,9
48,q25_75,25/75 (default),legacy67,0.1,0.1,0.25,0.75,0.6161904761904764,0.6447619047619049,0.02857142857142847,0.9733333333333334,0.9066666666666666,-0.06666666666666676,0.6428571428571429,0.7380952380952381,0.09523809523809523,8,12
